chronic,chronic_condition,chronic_time,total_time_homeless_life,times_homeless_3yrs,times_homeless_past_year,current_stint_duration,current_stint_duration_detailed,data_table
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,8 - 29 days,1 time,1 time,up to 1 month,1-4 weeks,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,More than 5 years,,,up to 1 month,up to 1 we,unsheltered_2011
0,0,1,4 - 5 months,4 or more times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
0,0,0,1 - 5 years,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,1,7 days or less,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,4 or more times,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,4 - 5 months,1 time,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,8 - 29 days,1 time,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,unknown,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,7 days or less,,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,up to 1 month,1-4 weeks,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,1 - 5 years,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
1,1,1,7 days or less,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,7 days or less,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,7 days or less,1 time,1 time,up to 1 month,up to 1 we,unsheltered_2011
1,1,1,7 days or less,,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,7 days or less,,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
1,1,1,More than 5 years,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
1,1,1,6 - 11 months,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,7 days or less,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,7 days or less,2 to 3 times,2 to 3 times,up to 1 month,up to 1 we,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,7 days or less,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,7 days or less,,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,1,0,7 days or less,,2 to 3 times,,,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,1,0,More than 5 years,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,6 - 11 months,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,7 days or less,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,4 - 5 months,1 time,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,1,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,1-3 months,1-3 months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,6 - 11 months,4 or more times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,1 time,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,1,6 - 11 months,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,1,0,7 days or less,1 time,unknown,,,unsheltered_2011
0,0,1,More than 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,6 - 11 months,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,7 days or less,,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,7 days or less,,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,6 - 11 months,4 or more times,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,0,1,More than 5 years,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,0,8 - 29 days,2 to 3 times,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,0,6 - 11 months,1 time,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,6-11 months,6-11 month,unsheltered_2011
0,0,0,1 - 3 months,2 to 3 times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
1,1,1,More than 5 years,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,4 - 5 months,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
1,1,1,More than 5 years,,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
1,1,1,More than 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,1,0,6 - 11 months,2 to 3 times,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,0,7 days or less,,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,1 time,1-3 months,1-3 months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,More than 5 years,2 to 3 times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,0,1 - 5 years,1 time,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,0,More than 5 years,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
1,1,1,7 days or less,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,8 - 29 days,1 time,4 or more times,up to 1 month,1-4 weeks,unsheltered_2011
1,1,1,1 - 5 years,2 to 3 times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,More than 5 years,,1 time,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,More than 5 years,,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,up to 1 month,1-4 weeks,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,0,1,More than 5 years,,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,0,8 - 29 days,,1 time,up to 1 month,up to 1 we,unsheltered_2011
0,0,1,1 - 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,0,1,8 - 29 days,4 or more times,2 to 3 times,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,1 time,4-5 months,4-5 months,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,2 to 3 times,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,2 to 3 times,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,More than 5 years,2 to 3 times,2 to 3 times,12+ months,12+ months,unsheltered_2011
0,0,0,1 - 3 months,1 time,1 time,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,1 time,12+ months,12+ months,unsheltered_2011
1,1,1,1 - 5 years,4 or more times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
0,0,0,4 - 5 months,1 time,1 time,4-5 months,4-5 months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,1 time,up to 1 month,1-4 weeks,unsheltered_2011
0,0,0,1 - 5 years,2 to 3 times,2 to 3 times,up to 1 month,1-4 weeks,unsheltered_2011
1,1,1,More than 5 years,4 or more times,4 or more times,1-3 months,1-3 months,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,More than 5 years,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,1 time,6-11 months,6-11 month,unsheltered_2011
0,0,1,6 - 11 months,4 or more times,4 or more times,6-11 months,6-11 month,unsheltered_2011
0,1,0,4 - 5 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
1,1,1,7 days or less,1 time,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,0,6 - 11 months,2 to 3 times,2 to 3 times,6-11 months,6-11 month,unsheltered_2011
0,0,1,More than 5 years,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,0,1,1 - 5 years,1 time,1 time,12+ months,12+ months,unsheltered_2011
0,0,1,6 - 11 months,4 or more times,4 or more times,12+ months,12+ months,unsheltered_2011
0,1,0,1 - 5 years,2 to 3 times,2 to 3 times,4-5 months,4-5 months,unsheltered_2011
0,1,0,6 - 11 months,1 time,1 time,6-11 months,6-11 month,unsheltered_2011
